阿罗汉,a'luo'han
世间有此目前现事,shi'jian'you'ci'mu'qian'xian'shi
世间之事,shi'jian'zhi'shi
世间诸众生类,shi'jian'zhu'zhong'sheng'lei
世间自在王佛,shi'jian'zi'zai'wang'fo
世间自在王佛知其高明,shi'jian'zi'zai'wang'fo'zhi'qi'gao'ming
十力无畏,shi'li'wu'wei
十力无畏声,shi'li'wu'wei'sheng
誓满所愿,shi'man'suo'yuan
十念必生愿,shi'nian'bi'sheng'yuan
世人恶苦,shi'ren'e'ku
世人共争不急之务,shi'ren'gong'zheng'bu'ji'zhi'wu
是人临终,shi'ren'lin'zhong
是人命终,shi'ren'ming'zhong
世人善恶自不能见,shi'ren'shan'e'zi'bu'neng'jian
是人已曾值过去佛,shi'ren'yi'ceng'zhi'guo'qu'fo
十日十夜,shi'ri'shi'ye
视若自己,shi'ruo'zi'ji
世世累劫,shi'shi'lei'jie
是王子等,shi'wang'zi'deng
是为大善,shi'wei'da'shan
事为非法,shi'wei'fei'fa
是为五大善也,shi'wei'wu'da'shan'ye
时为诸天及世人民,shi'wei'zhu'tian'ji'shi'ren'min
实无可得,shi'wu'ke'de
世无能喻,shi'wu'neng'yu
实无食者,shi'wu'shi'zhe
实无所惑,shi'wu'suo'huo
使无疑滞,shi'wu'yi'zhi
示现同彼,shi'xian'tong'bi
适小具有,shi'xiao'ju'you
是以非乐,shi'yi'fei'le
事已化去,shi'yi'hua'qu
时亦难遭,shi'yi'nan'zao
时至复现,shi'zhi'fu'xian
示众见之,shi'zhong'jian'zhi
是诸宝树,shi'zhu'bao'shu
饰诸宝柱,shi'zhu'bao'zhu
时诸比丘闻佛言者,shi'zhu'bi'qiu'wen'fo'yan'zhe
时诸佛国皆悉明现,shi'zhu'fo'guo'jie'xi'ming'xian
是诸人等,shi'zhu'ren'deng
师子佛刹,shi'zi'fo'sha
世尊,shi'zun
世尊告言,shi'zun'gao'yan
世尊今日入大寂定,shi'zun'jin'ri'ru'da'ji'ding
世尊能演一音声,shi'zun'neng'yan'yi'yin'sheng
受持,shou'chi
受持广度生死流,shou'chi'guang'du'sheng'si'liu
受持如来甚深法藏,shou'chi'ru'lai'shen'shen'fa'zang
授法眼,shou'fa'yan
受佛明诲,shou'fo'ming'hui
受佛重诲,shou'fo'zhong'hui
受记成等觉,shou'ji'cheng'deng'jue
受记当作佛,shou'ji'dang'zuo'fo
寿乐无极第三十二,shou'le'wu'ji'di'san'shi'er
寿乐无有极,shou'le'wu'you'ji
寿命长久,shou'ming'chang'jiu
寿命几何,shou'ming'ji'he
寿命无量,shou'ming'wu'liang
寿命无量愿,shou'ming'wu'liang'yuan
寿命亦皆无量,shou'ming'yi'jie'wu'liang
寿命终尽,shou'ming'zhong'jin
受菩提记,shou'pu'ti'ji
授菩提记,shou'pu'ti'ji
受菩提记第四十四,shou'pu'ti'ji'di'si'shi'si
寿千万劫,shou'qian'wan'jie
寿万亿岁,shou'wan'yi'sui
受我法化,shou'wo'fa'hua
受用具足第十九,shou'yong'ju'zu'di'shi'jiu
受用种种,shou'yong'zhong'zhong
授与经法,shou'yu'jing'fa
手中常出无尽之宝,shou'zhong'chang'chu'wu'jin'zhi'bao
寿终皆得往生其国,shou'zhong'jie'de'wang'sheng'qi'guo
寿众无量第十三,shou'zhong'wu'liang'di'shi'san
寿终之后,shou'zhong'zhi'hou
数千百变,shu'qian'bai'bian
数如恒河沙,shu'ru'heng'he'sha
殊胜吉祥,shu'sheng'ji'xiang
殊胜庄严无等伦,shu'sheng'zhuang'yan'wu'deng'lun
熟思惟之,shu'si'wei'zhi
殊无怪也,shu'wu'guai'ye
树现佛刹愿,shu'xian'fo'sha'yuan
书写,shu'xie
水火盗贼,shui'huo'dao'zei
水晶树,shui'jing'shu
水晶为梢,shui'jing'wei'shao
谁能知者,shui'neng'zhi'zhe
顺世间故,shun'shi'jian'gu
说诚实言,shuo'cheng'shi'yan
说此颂已,shuo'ci'song'yi
说道,shuo'dao
说法师子吼,shuo'fa'shi'zi'hou
说经讲道,shuo'jing'jiang'dao
说经行道,shuo'jing'xing'dao
说是法时,shuo'shi'fa'shi
说我功德国土之善者,shuo'wo'gong'de'guo'tu'zhi'shan'zhe
说行,shuo'xing
四百万里,si'bai'wan'li
四不妄言,si'bu'wang'yan
思道及坐禅者,si'dao'ji'zuo'chan'zhe
斯等菩萨,si'deng'pu'sa
死极苦痛,si'ji'ku'tong
死生不得,si'sheng'bu'de
死生之趣,si'sheng'zhi'qu
四十亿菩萨,si'shi'yi'pu'sa
死所趣向,si'suo'qu'xiang
四万亿那由他百千众生,si'wan'yi'na'you'ta'bai'qian'zhong'sheng
思惟彼刹及佛功德,si'wei'bi'sha'ji'fo'gong'de
思惟究竟,si'wei'jiu'jing
四维上下,si'wei'shang'xia
四维上下恒沙世界,si'wei'shang'xia'heng'sha'shi'jie
思惟熟计,si'wei'shu'ji
思惟修习,si'wei'xiu'xi
思想恩好,si'xiang'en'hao
斯义宏深,si'yi'hong'shen
思欲齐等,si'yu'qi'deng
斯愿不满足,si'yuan'bu'man'zu
斯愿若克果,si'yuan'ruo'ke'guo
诵经者,song'jing'zhe
颂曰,song'yue
速成无上正等正觉,su'cheng'wu'shang'zheng'deng'zheng'jue
速到菩提究竟岸,su'dao'pu'ti'jiu'jing'an
速得闻法,su'de'wen'fa
速疾安住得不退转,su'ji'an'zhu'de'bu'tui'zhuan
宿命通愿,su'ming'tong'yuan
速生我刹受安乐,su'sheng'wo'sha'shou'an'le
宿世之时,su'shi'zhi'shi
宿殃未尽,su'yang'wei'jin
虽百千倍不相类也,sui'bai'qian'bei'bu'xiang'lei'ye
虽不即时暴应,sui'bu'ji'shi'bao'ying
虽不临时,sui'bu'lin'shi
虽不能大精进禅定,sui'bu'neng'da'jing'jin'chan'ding
虽不能行作沙门,sui'bu'neng'xing'zuo'sha'men
随风散馥,sui'feng'san'fu
随风四散,sui'feng'si'san
虽复修福,sui'fu'xiu'fu
随己修行,sui'ji'xiu'xing
随经约令,sui'jing'yue'ling
虽具天眼,sui'ju'tian'yan
随其精进早晚,sui'qi'jing'jin'zao'wan
随其前后,sui'qi'qian'hou
随其时节,sui'qi'shi'jie
随其所闻,sui'qi'suo'wen
碎如微尘,sui'ru'wei'chen
随色次第,sui'se'ci'di
虽生彼国,sui'sheng'bi'guo
虽生他方世界,sui'sheng'ta'fang'shi'jie
虽生五浊恶世,sui'sheng'wu'zhuo'e'shi
随时悟入华严三昧,sui'shi'wu'ru'hua'yan'san'mei
随顺我教,sui'shun'wo'jiao
随所生处,sui'suo'sheng'chu
虽万亿倍,sui'wan'yi'bei
随心则到,sui'xin'ze'dao
随意即至,sui'yi'ji'zhi
随以磨灭,sui'yi'mo'mie
虽一世精进勤苦,sui'yi'shi'jing'jin'qin'ku
随意所须,sui'yi'suo'xu
随意所愿,sui'yi'suo'yuan
虽亦修善,sui'yi'xiu'shan
随意修习,sui'yi'xiu'xi
随意自在,sui'yi'zi'zai
随应而现,sui'ying'er'xian
虽有此食,sui'you'ci'shi
虽有善根劣者,sui'you'shan'gen'lie'zhe
随愿皆生,sui'yuan'jie'sheng
虽种善根,sui'zhong'shan'gen
随足举已,sui'zu'ju'yi
随罪趣向,sui'zui'qu'xiang
损害忠良,sun'hai'zhong'liang
所不能及,suo'bu'neng'ji
所不欲闻,suo'bu'yu'wen
所处宫殿,suo'chu'gong'dian
所当求者,suo'dang'qiu'zhe
所当为者,suo'dang'wei'zhe
所发誓愿圆满成就,suo'fa'shi'yuan'yuan'man'cheng'jiu
所居佛刹,suo'ju'fo'sha
所居宫殿,suo'ju'gong'dian
所居国土,suo'ju'guo'tu
所居舍宅,suo'ju'she'zhai
所居舍宅在地,suo'ju'she'zhai'zai'di
所摄佛国,suo'she'fo'guo
所生菩萨,suo'sheng'pu'sa
所生之处,suo'sheng'zhi'chu
所受快乐,suo'shou'kuai'le
所受寿命,suo'shou'shou'ming
所未曾见,suo'wei'ceng'jian
所谓善思惟菩萨,suo'wei'shan'si'wei'pu'sa
所谓一不杀生,suo'wei'yi'bu'sha'sheng
所未知者,suo'wei'zhi'zhe
所行慈愍行,suo'xing'ci'min'xing
所修佛国,suo'xiu'fo'guo
所修善根,suo'xiu'shan'gen
所须饮食,suo'xu'yin'shi
所言诚谛,suo'yan'cheng'di
所以出兴于世,suo'yi'chu'xing'yu'shi
所以者何,suo'yi'zhe'he
所有,suo'you
所有国城,suo'you'guo'cheng
所有疾苦,suo'you'ji'ku
所有见闻者,suo'you'jian'wen'zhe
所有善根,suo'you'shan'gen
所有现在,suo'you'xian'zai
所有一切星宿众生,suo'you'yi'qie'xing'xiu'zhong'sheng
所有众生,suo'you'zhong'sheng
所愿功德大小不同,suo'yuan'gong'de'da'xiao'bu'tong
所愿辄得,suo'yuan'zhe'de
所作如犯,suo'zuo'ru'fan
所作善恶,suo'zuo'shan'e
所作善根悉施与之,suo'zuo'shan'gen'xi'shi'yu'zhi
所作至诚,suo'zuo'zhi'cheng
他宝化作,ta'bao'hua'zuo
他方佛国,ta'fang'fo'guo
他方佛土亦复如是,ta'fang'fo'tu'yi'fu'ru'shi
他方世界诸菩萨众,ta'fang'shi'jie'zhu'pu'sa'zhong
他方所有众生,ta'fang'suo'you'zhong'sheng
他心通愿,ta'xin'tong'yuan
贪计身者,tan'ji'shen'zhe
叹未曾有,tan'wei'ceng'you
贪于财色,tan'yu'cai'se
堂舍楼观第十六,tang'she'lou'guan'di'shi'liu
堂宇房阁,tang'yu'fang'ge
特留此经止住百岁,te'liu'ci'jing'zhi'zhu'bai'sui
天道施张,tian'dao'shi'zhang
天地之间,tian'di'zhi'jian
天耳通愿,tian'er'tong'yuan
天龙八部,tian'long'ba'bu
天人宫殿,tian'ren'gong'dian
天人归仰,tian'ren'gui'yang
天人礼敬愿,tian'ren'li'jing'yuan
天人师,tian'ren'shi
天人世间,tian'ren'shi'jian
天人寿量亦尔,tian'ren'shou'liang'yi'er
天下和顺,tian'xia'he'shun
天眼通达,tian'yan'tong'da
天眼通愿,tian'yan'tong'yuan
天雨妙华,tian'yu'miao'hua
调伏诸根,tiao'fu'zhu'gen
调伏自他,tiao'fu'zi'ta
调御丈夫,tiao'yu'zhang'fu
调众生,tiao'zhong'sheng
铁围,tie'wei
铁围大小诸山,tie'wei'da'xiao'zhu'shan
听此法门,ting'ci'fa'men
听经者,ting'jing'zhe
听受经法,ting'shou'jing'fa
听闻经法,ting'wen'jing'fa
痛不可言,tong'bu'ke'yan
通达善趣门,tong'da'shan'qu'men
通达甚深微妙法,tong'da'shen'shen'wei'miao'fa
通达诸法性,tong'da'zhu'fa'xing
同名妙音如来,tong'ming'miao'yin'ru'lai
同生极乐国,tong'sheng'ji'le'guo
痛哉可伤,tong'zai'ke'shang
通诸法性,tong'zhu'fa'xing
土石等山,tu'shi'deng'shan
退转阿耨多罗三藐三菩提,tui'zhuan'a'nou'duo'luo'san'miao'san'pu'ti
外若迟缓,wai'ruo'chi'huan
万种伎乐,wan'zhong'ji'yue
尪狂,wang'kuang
往礼无量寿,wang'li'wu'liang'shou
亡其功夫,wang'qi'gong'fu
往生,wang'sheng
往生彼国,wang'sheng'bi'guo
往生正因第二十五,wang'sheng'zheng'yin'di'er'shi'wu
往昔世中,wang'xi'shi'zhong
妄言,wang'yan
往诣佛所,wang'yi'fo'suo
王子得罪,wang'zi'de'zui
为彼群生大导师,wei'bi'qun'sheng'da'dao'shi
未曾间断,wei'ceng'jian'duan
唯曾于佛植众善,wei'ceng'yu'fo'zhi'zhong'shan
未尝宁息,wei'chang'ning'xi
唯除大愿,wei'chu'da'yuan
唯除五逆,wei'chu'wu'ni
唯此世间,wei'ci'shi'jian
唯此五恶世间,wei'ci'wu'e'shi'jian
为大导师,wei'da'dao'shi
未当度脱,wei'dang'du'tuo
为道作善,wei'dao'zuo'shan
未得阿惟越致者,wei'de'a'wei'yue'zhi'zhe
威德广大,wei'de'guang'da
威德广大不思议智,wei'de'guang'da'bu'si'yi'zhi
威德巍巍,wei'de'wei'wei
为度群生,wei'du'qun'sheng
未度有情令得度,wei'du'you'qing'ling'de'du
唯阿弥陀佛,wei'e'mi'tuo'fo
微风徐动,wei'feng'xu'dong
唯佛圣智能证知,wei'fo'sheng'zhi'neng'zheng'zhi
唯佛与佛乃能知,wei'fo'yu'fo'nai'neng'zhi
威光赫奕,wei'guang'he'yi
谓己有道,wei'ji'you'dao
唯见大水,wei'jian'da'shui
唯见佛光,wei'jian'fo'guang
为教菩萨,wei'jiao'pu'sa
为今现在他方世界耶,wei'jin'xian'zai'ta'fang'shi'jie'ye
未来佛耶,wei'lai'fo'ye
未来一切菩萨,wei'lai'yi'qie'pu'sa
微澜徐回,wei'lan'xu'hui
违戾反逆,wei'li'fan'ni
威力自在,wei'li'zi'zai
微妙宫商,wei'miao'gong'shang
微妙和雅,wei'miao'he'ya
微妙快乐,wei'miao'kuai'le
微妙难思议,wei'miao'nan'si'yi
微妙奇丽,wei'miao'qi'li
未能舍离,wei'neng'she'li
违逆天地,wei'ni'tian'di
为念过去未来诸佛耶,wei'nian'guo'qu'wei'lai'zhu'fo'ye
为念现在他方诸佛耶,wei'nian'xian'zai'ta'fang'zhu'fo'ye
为菩萨求得是愿时,wei'pu'sa'qiu'de'shi'yuan'shi
为求法故,wei'qiu'fa'gu
唯然已见,wei'ran'yi'jian
唯然已闻,wei'ran'yi'wen
围绕说法,wei'rao'shuo'fa
为善千岁,wei'shan'qian'sui
威神光明,wei'shen'guang'ming
威神力故,wei'shen'li'gu
唯是,wei'shi
为失大利,wei'shi'da'li
为是过去佛耶,wei'shi'guo'qu'fo'ye
为世明灯,wei'shi'ming'deng
威势无几,wei'shi'wu'ji
唯受清净最上快乐,wei'shou'qing'jing'zui'shang'kuai'le
为水中王,wei'shui'zhong'wang
为妄兴事,wei'wang'xing'shi
谓无有是,wei'wu'you'shi
威相第一,wei'xiang'di'yi
微笑现金容,wei'xiao'xian'jin'rong
为心走使,wei'xin'zou'shi
唯一宝成,wei'yi'bao'cheng
唯以自然七宝,wei'yi'zi'ran'qi'bao
唯有世尊能开示,wei'you'shi'zun'neng'kai'shi
为欲瞻礼,wei'yu'zhan'li
惟愿如来应正遍知,wei'yuan'ru'lai'ying'zheng'bian'zhi
唯愿世尊,wei'yuan'shi'zun
为之不谛,wei'zhi'bu'di
为众开法藏,wei'zhong'kai'fa'zang
为众生故,wei'zhong'sheng'gu
为诸庶类作不请之友,wei'zhu'shu'lei'zuo'bu'qing'zhi'you
为诸有情长夜利益,wei'zhu'you'qing'chang'ye'li'yi
闻彼佛名,wen'bi'fo'ming
闻此经典,wen'ci'jing'dian
闻法能行,wen'fa'neng'xing
闻法乐受行,wen'fa'yue'shou'xing
闻佛圣德名,wen'fo'sheng'de'ming
闻佛说法,wen'fo'shuo'fa
闻佛所说,wen'fo'suo'shuo
闻经获益第四十八,wen'jing'huo'yi'di'si'shi'ba
闻名得福愿,wen'ming'de'fu'yuan
闻名得忍愿,wen'ming'de'ren'yuan
闻名发心愿,wen'ming'fa'xin'yuan
闻名欲往生,wen'ming'yu'wang'sheng
闻其光明威神功德,wen'qi'guang'ming'wei'shen'gong'de
闻甚深法,wen'shen'shen'fa
闻声,wen'sheng
闻是法已,wen'shi'fa'yi
文殊师利菩萨,wen'shu'shi'li'pu'sa
闻我名号,wen'wo'ming'hao
闻我名已,wen'wo'ming'yi
闻我名者,wen'wo'ming'zhe
闻我名字,wen'wo'ming'zi
闻已受持及书写,wen'yi'shou'chi'ji'shu'xie
温者,wen'zhe
闻之皆大欢喜,wen'zhi'jie'da'huan'xi
我哀汝等,wo'ai'ru'deng
我当奉持,wo'dang'feng'chi
我弟子中大目犍连,wo'di'zi'zhong'da'mu'jian'lian
我法如是,wo'fa'ru'shi
我行决定坚固力,wo'hang'jue'ding'jian'gu'li
我建超世志,wo'jian'chao'shi'zhi
我见极乐世界人住胎者,wo'jian'ji'le'shi'jie'ren'zhu'tai'zhe
我今,wo'jin
我今见闻得受持,wo'jin'jian'wen'de'shou'chi
我今略说彼极乐界,wo'jin'lue'shuo'bi'ji'le'jie
我今为菩萨道,wo'jin'wei'pu'sa'dao
我今于此作佛,wo'jin'yu'ci'zuo'fo
我今愿见,wo'jin'yuan'jian
我立是愿,wo'li'shi'yuan
我若成正觉,wo'ruo'cheng'zheng'jue
我若证得无上菩提,wo'ruo'zheng'de'wu'shang'pu'ti
我已成就庄严佛土,wo'yi'cheng'jiu'zhuang'yan'fo'tu
我以慈悲哀愍,wo'yi'ci'bei'ai'min
我亦愿乐生于彼土,wo'yi'yuan'le'sheng'yu'bi'tu
我于此法,wo'yu'ci'fa
我于此世作佛,wo'yu'ci'shi'zuo'fo
我与诸菩萨众迎现其前,wo'yu'zhu'pu'sa'zhong'ying'xian'qi'qian
我作佛时,wo'zuo'fo'shi
无碍光佛,wu'ai'guang'fo
吾哀汝等,wu'ai'ru'deng
无碍无断,wu'ai'wu'duan
无爱无厌,wu'ai'wu'yan
无碍无著甚深之法,wu'ai'wu'zhu'shen'shen'zhi'fa
五百岁中,wu'bai'sui'zhong
吾般泥洹,wu'ban'ni'huan
无边世界,wu'bian'shi'jie
无边殊胜刹,wu'bian'shu'sheng'sha
无不得解脱者,wu'bu'de'jie'tuo'zhe
无不具足,wu'bu'ju'zu
无不满愿,wu'bu'man'yuan
五不绮语,wu'bu'qi'yu
无不遂者,wu'bu'sui'zhe
无不圆满,wu'bu'yuan'man
无不照见,wu'bu'zhao'jian
无差别相,wu'cha'bie'xiang
无常,wu'chang
无常根本,wu'chang'gen'ben
无从舍离,wu'cong'she'li
吾当为汝,wu'dang'wei'ru
五道分明,wu'dao'fen'ming
悟道者少,wu'dao'zhe'shao
无得犯也,wu'de'fan'ye
无得毁失,wu'de'hui'shi
勿得随心所欲,wu'de'sui'xin'suo'yu
无得贪惜,wu'de'tan'xi
无得为妄,wu'de'wei'wang
无得疑悔,wu'de'yi'hui
无得以我灭度之后,wu'de'yi'wo'mie'du'zhi'hou
无等光佛,wu'deng'guang'fo
无等无伦,wu'deng'wu'lun
无等智,wu'deng'zhi
勿犯道禁,wu'fan'dao'jin
无复苦恼之患,wu'fu'ku'nao'zhi'huan
无复曲直,wu'fu'qu'zhi
无缚无脱,wu'fu'wu'tuo
无复余习,wu'fu'yu'xi
无过此难,wu'guo'ci'nan
无毫发之恶,wu'hao'fa'zhi'e
无极之胜道,wu'ji'zhi'sheng'dao
无极之体,wu'ji'zhi'ti
吾今为诸众生说此经法,wu'jin'wei'zhu'zhong'sheng'shuo'ci'jing'fa
无可乐者,wu'ke'le'zhe
无可奈何,wu'ke'nai'he
无量宝藏,wu'liang'bao'zang
无量不可思议功德庄严,wu'liang'bu'ke'si'yi'gong'de'zhuang'yan
无量不可思议无央数劫,wu'liang'bu'ke'si'yi'wu'yang'shu'jie
无量功德,wu'liang'gong'de
无量光明,wu'liang'guang'ming
无量光炎,wu'liang'guang'yan
无量劫时宿命,wu'liang'jie'shi'su'ming
无量苦恼,wu'liang'ku'nao
无量妙华,wu'liang'miao'hua
无量妙花纷纷而降,wu'liang'miao'hua'fen'fen'er'jiang
无量清净阿弥陀佛国,wu'liang'qing'jing'e'mi'tuo'fo'guo
无量清净平等觉,wu'liang'qing'jing'ping'deng'jue
无量色树愿,wu'liang'se'shu'yuan
无量寿佛,wu'liang'shou'fo
无量寿佛极乐国土,wu'liang'shou'fo'ji'le'guo'tu
无量寿佛所有功德,wu'liang'shou'fo'suo'you'gong'de
无量寿国,wu'liang'shou'guo
无量无边,wu'liang'wu'bian
无量无边无数佛刹,wu'liang'wu'bian'wu'shu'fo'sha
无量无边一切诸佛,wu'liang'wu'bian'yi'qie'zhu'fo
无量无数,wu'liang'wu'shu
无量种色,wu'liang'zhong'se
无量诸佛咸共护念,wu'liang'zhu'fo'xian'gong'hu'nian
无明贪嗔皆永无,wu'ming'tan'chen'jie'yong'wu
无能称量,wu'neng'cheng'liang
无能逾者,wu'neng'yu'zhe
无能纵舍,wu'neng'zong'she
无穷无极,wu'qiong'wu'ji
无缺减故,wu'que'jian'gu
无上菩提,wu'shang'pu'ti
无上甚深微妙法,wu'shang'shen'shen'wei'miao'fa
无上士,wu'shang'shi
五烧,wu'shao
五烧五痛,wu'shao'wu'tong
无深不照,wu'shen'bu'zhao
无生无灭,wu'sheng'wu'mie
无生无灭声,wu'sheng'wu'mie'sheng
无数劫来,wu'shu'jie'lai
无数诸佛,wu'shu'zhu'fo
无衰无变,wu'shuai'wu'bian
无谁代者,wu'shui'dai'zhe
勿随嗜欲,wu'sui'shi'yu
无所挂碍,wu'suo'gua'ai
无所味著,wu'suo'wei'zhu
无所障碍,wu'suo'zhang'ai
无所专据,wu'suo'zhuan'ju
无田忧田,wu'tian'you'tian
五痛,wu'tong
无我,wu'wo
吾悉知彼愿,wu'xi'zhi'bi'yuan
无相,wu'xiang
无相无为,wu'xiang'wu'wei
无相憎嫉,wu'xiang'zeng'ji
务修礼让,wu'xiu'li'rang
无益其人,wu'yi'qi'ren
无一随者,wu'yi'sui'zhe
无义无礼,wu'yi'wu'li
无因奉事无量寿佛,wu'yin'feng'shi'wu'liang'shou'fo
无有,wu'you
无有爱贪,wu'you'ai'tan
无有报偿,wu'you'bao'chang
无有出期,wu'you'chu'qi
无有代者,wu'you'dai'zhe
无有等等,wu'you'deng'deng
无有昏暗,wu'you'hun'an
无有解时,wu'you'jie'shi
无有虚伪谄曲之心,wu'you'xu'wei'chan'qu'zhi'xin
无有忧思,wu'you'you'si
无有语者,wu'you'yu'zhe
无有怨枉,wu'you'yuan'wang
无有杂秽,wu'you'za'hui
无有增减,wu'you'zeng'jian
无有障碍,wu'you'zhang'ai
无有智慧,wu'you'zhi'hui
无与等者,wu'yu'deng'zhe
吾语汝等,wu'yu'ru'deng
无愿法门,wu'yuan'fa'men
无造恶之地,wu'zao'e'zhi'di
无增缺减,wu'zeng'que'jian
无宅忧宅,wu'zhai'you'zhai
无诸分别,wu'zhu'fen'bie
无诸秽恶,wu'zhu'hui'e
无诸恼患,wu'zhu'nao'huan
无诸障碍,wu'zhu'zhang'ai
悉成,xi'cheng
悉成缘觉,xi'cheng'yuan'jue
悉持思之,xi'chi'si'zhi
洗除心垢,xi'chu'xin'gou
悉大开辟,xi'da'kai'pi
喜得瞻仰,xi'de'zhan'yang
悉睹娑婆世界,xi'du'suo'po'shi'jie
悉度脱之,xi'du'tuo'zhi
悉睹无量诸佛,xi'du'wu'liang'zhu'fo
悉发菩提心,xi'fa'pu'ti'xin
西方极乐世界,xi'fang'ji'le'shi'jie
悉奉行之,xi'feng'xing'zhi
悉共大会,xi'gong'da'hui
悉共计校,xi'gong'ji'xiao
悉共推算,xi'gong'tui'suan
溪谷,xi'gu
悉获诸佛无量功德,xi'huo'zhu'fo'wu'liang'gong'de
悉皆慈心作善,xi'jie'ci'xin'zuo'shan
悉皆第一,xi'jie'di'yi
悉皆洞视,xi'jie'dong'shi
悉皆具足,xi'jie'ju'zu
悉皆空寂,xi'jie'kong'ji
悉皆如念,xi'jie'ru'nian
悉皆如是,xi'jie'ru'shi
悉皆隐蔽,xi'jie'yin'bi
悉皆增上,xi'jie'zeng'shang
喜乐久习,xi'le'jiu'xi
悉令得泥洹道,xi'ling'de'ni'huan'dao
悉令如佛,xi'ling'ru'fo
系念我国,xi'nian'wo'guo
希求,xi'qiu
希求佛智,xi'qiu'fo'zhi
悉舍三途苦,xi'she'san'tu'ku
悉受清虚之身,xi'shou'qing'xu'zhi'shen
悉同一类,xi'tong'yi'lei
希望长生,xi'wang'chang'sheng
悕望他利,xi'wang'ta'li
析为百分,xi'wei'bai'fen
熙怡快乐,xi'yi'kuai'le
希有出现,xi'you'chu'xian
悉于宝树间见,xi'yu'bao'shu'jian'jian
悉知,xi'zhi
悉知其数,xi'zhi'qi'shu
洗诸尘垢,xi'zhu'chen'gou
洗濯垢污,xi'zhuo'gou'wu
悉作菩萨,xi'zuo'pu'sa
下从地际,xia'cong'di'ji
下济三途苦,xia'ji'san'tu'ku
下入恶道,xia'ru'e'dao
先被病殃,xian'bei'bing'yang
现大光明,xian'da'guang'ming
咸共遵修普贤大士之德,xian'gong'zun'xiu'pu'xian'da'shi'zhi'de
现居此界,xian'ju'ci'jie
贤明,xian'ming
显明清白,xian'ming'qing'bai
现其人前,xian'qi'ren'qian
现求,xian'qiu
先人不善,xian'ren'bu'shan
陷人冤枉,xian'ren'yuan'wang
显示三乘,xian'shi'san'cheng
咸同一类,xian'tong'yi'lei
咸为道慕,xian'wei'dao'mu
咸以尊重心,xian'yi'zun'zhong'xin
现在其前,xian'zai'qi'qian
现在西方,xian'zai'xi'fang
现在之事,xian'zai'zhi'shi
现证不退愿,xian'zheng'bu'tui'yuan
现众异相,xian'zhong'yi'xiang
相从共生,xiang'cong'gong'sheng
向佛合掌,xiang'fo'he'zhang
降伏魔怨,xiang'fu'mo'yuan
相好光明,xiang'hao'guang'ming
相好殊特,xiang'hao'shu'te
香花,xiang'hua
香华幢幡宝盖,xiang'hua'zhuang'fan'bao'gai
香气普薰,xiang'qi'pu'xun
向无量寿,xiang'wu'liang'shou
香象菩萨,xiang'xiang'pu'sa
消除三垢冥,xiao'chu'san'gou'ming
消散复取,xiao'san'fu'qu
消散磨灭,xiao'san'mo'mie
譊譊忧无常,xiao'xiao'you'wu'chang
邪见业王,xie'jian'ye'wang
邪态外逸,xie'tai'wai'yi
心不颠倒,xin'bu'dian'dao
心不开解,xin'bu'kai'jie
心不自在,xin'bu'zi'zai
心常谛住度世之道,xin'chang'di'zhu'du'shi'zhi'dao
心得解脱,xin'de'jie'tuo
心得开明,xin'de'kai'ming
心得开明第三十四,xin'de'kai'ming'di'san'shi'si
心得清凉,xin'de'qing'liang
信慧菩萨,xin'hui'pu'sa
信慧闻法难中难,xin'hui'wen'fa'nan'zhong'nan
信己善根,xin'ji'shan'gen
心解得道,xin'jie'de'dao
信解明记,xin'jie'ming'ji
心口各异,xin'kou'ge'yi
心劳身苦,xin'lao'shen'ku
信乐受持,xin'le'shou'chi
心悭意固,xin'qian'yi'gu
信受奉行,xin'shou'feng'xing
心无下劣,xin'wu'xia'lie
心无远虑,xin'wu'yuan'lv
心心回向,xin'xin'hui'xiang
信行者少,xin'xing'zhe'shao
心意善恶,xin'yi'shan'e
心中闭塞,xin'zhong'bi'se
心中不回,xin'zhong'bu'hui
心中狐疑,xin'zhong'hu'yi
心中愿言,xin'zhong'yuan'yan
心自趣向,xin'zi'qu'xiang
行遍道场,xing'bian'dao'chang
兴兵相伐,xing'bing'xiang'fa
行超普贤登彼岸,xing'chao'pu'xian'deng'bi'an
兴大悲,xing'da'bei
行道,xing'dao
行寂静行,xing'ji'jing'xing
形貌端严,xing'mao'duan'yan
行菩萨道,xing'pu'sa'dao
行普贤道,xing'pu'xian'dao
行权方便,xing'quan'fang'bian
形色殊特,xing'se'shu'te
行行相值,xing'xing'xiang'zhi
星曜,xing'yao
行作沙门,xing'zuo'sha'men
兄弟,xiong'di
兄弟夫妇,xiong'di'fu'fu
雄猛无畏,xiong'meng'wu'wei
修何方便,xiu'he'fang'bian
修菩萨道,xiu'pu'sa'dao
修菩萨行,xiu'pu'sa'xing
修菩提行,xiu'pu'ti'xing
修善积德所致,xiu'shan'ji'de'suo'zhi
修胜菩提行,xiu'sheng'pu'ti'xing
修殊胜行愿,xiu'shu'sheng'xing'yuan
修条密叶,xiu'tiao'mi'ye
修习功德,xiu'xi'gong'de
修习功德满足五劫,xiu'xi'gong'de'man'zu'wu'jie
修习善本,xiu'xi'shan'ben
修习摄受,xiu'xi'she'shou
嗅香,xiu'xiang
修行精进,xiu'xing'jing'jin
修行五眼,xiu'xing'wu'yan
修诸功德,xiu'zhu'gong'de
